,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
2538,1998-06-25,09:32:00,"Mt. Waialeale, Hawaii",Air Taxi - Ohana Helicopter Tours,Eurocopter AS-350-BA,6,4,2,6,4.0,2.0,"The helicopter impacted a mountain on a sightseeing trip. The pilot's decision to continue VFR flight into deteriorating weather conditions consisting of lowering ceilings and visibility in mountainous terrain, which resulted in the inadvertent entry into instrument meteorological conditions and a collision with a mountainside. A factor in the accident was the failure of the chief pilot, who had directly observed the deteriorating weather conditions, to direct the following pilots to avoid the area.",1990,1998
2539,1998-07-13,23:15:00,"Off Rasal, United Arab Emirates",ATI Aircompany,Ilyushin 76MD,8,0,8,8,0.0,8.0,"The cargo plane lifted off from the runway, slowly sank and impacted the sea. The plane was grossly overloaded.",1990,1998
2540,1998-07-16,21:41:00,"Córdoba, Argentina",Alas del Sur,Rockwell Sabreliner 60,3,1,2,3,1.0,2.0,The cargo plane crashed short of the runway.,1990,1998
2541,1998-07-17,04:15:00,"Asmara, Eritrea",Ukraine Aviation Transport Company,Ilyushin II-76,10,1,9,10,1.0,9.0,"While on an ILS approach, the cargo plane struck a hill.",1990,1998
2542,1998-07-29,16:00:00,"Manacapuru River, Brazil",Selva Taxi Aero,Embraer 110 Bandeirante,24,22,2,5,4.0,1.0,The aircraft ditched in the Manacapuru River while en route from Tefe to Manaus. The pilot had reported an engine problem about 20 minutes earlier.,1990,1998
2543,1998-07-30,15:58:00,"Near Quiberon, France",Proteus Air / Private,Beechcraft 1900D / Cessna 177,15,12,3,15,12.0,3.0,"Midair collision. The Beechcraft was on a flight from Lyon to Lorient, approaching Lorient, when it requested permission to fly over the ocean liner Norway. While circling the Norway, it collided with the Cessna. One killed aboard the Cessna, 14 aboard the Beechcraft.  The pilots of the Beechcraft decided to deviate from their course in order to give passengers a view of the ocean liner Le France. This is unusual but not forbidden. They also descended to 2,000 feet, below the level of radar detection. Both planes approached each other within blind spots. Failure of both pilots to ""see and avoid"" each other under VFR conditions.",1990,1998
2544,1998-07-30,11:05:00,"Kochi, India",Alliance Airlines,Dornier 228-201,6,3,3,6,3.0,3.0,"Shortly after taking off the plane pitched up, stalled and crashed to the ground. The  pitch-up was caused by an uncommanded downward movement of the horizontal stabilizer. This was due to a partial detachment of the actuator forward bearing support fitting due to the non-installation of required hi-lok fasteners.",1990,1998
2545,1998-08-04,17:58:00,"Kincolith, British Columbia, Canada",Harbour Air Seaplanes Ltd.,de Havilland Dash-2 Beaver,5,4,1,5,4.0,1.0,"The pilot made three low passes over the water in an attempt to land at Kincolith. On the fourth approach, the aircraft touched down, apparently in a controlled manner, and skipped on the water surface. The floats then dug into the water followed by the right wing, which was severed from the fuselage on water impact. The aircraft quickly overturned and came to rest inverted with only the bottom of the floats visible. All five occupants drowned. On touchdown, the floats struck the water and caused a flying attitude that the pilot could not control before the right wing dug in and the aircraft overturned. Contributing to the accident were conflicting wind and water conditions at the time of the occurrence.",1990,1998
2546,1998-08-19,16:40:00,"Foveaux Strait, New Zealand",Vincent Aviation,Cessna 402C,10,9,1,5,4.0,1.0,"While en route, the aircraft experienced double engine failure. The plane ditched into Foveaux Strait. Five passengers were rescued, but four passengers and the pilot did not have lifejackets and did not survive. The double engine failure was possibly related to fuel management.",1990,1998
2547,1998-08-21,11:30:00,"Near Ghorepani, Nepal",Lumbini Airways,de Havilland Canada DHC-6 Twin Otter 300,18,15,3,18,15.0,3.0,"The aircraft crashed in a remote mountainous area at an elevation of 12,000 feet while on a flight from Jomsom to Potokari. Radio contact was lost 5 minutes after takeoff from Jomson.",1990,1998
2548,1998-08-24,16:46:00,"Pretoria, South Africa",Speed Service Couriers,DC-3-65TP,2,0,2,1,0.0,1.0,"The cargo plane took off in a steep angle, rolled to the left and crashed and burned. The taking off with the elevator trim set to the full nose-up position. This resulted in the nose of the aircraft pitching up after rotation, causing the pilot to lose control of the aircraft.",1990,1998
2549,1998-08-24,08:35:00,"Manibagi, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,44,40,4,44,40.0,4.0,"The aircraft was on a flight from Rangoon to Tachilek when it was diverted to Heho due to poor weather conditions. After the aircraft was reported missing, wreckage was found on Payakha Mountain, near Manibagi. It was five days before officials announced that the plane had crashed as an effort was made to hide the accident. There are reports that some survived the crash, only to be tortured and  murdered by nearby villagers who thought it was a military plane.",1990,1998
2550,1998-08-29,13:03:00,"Quito, Ecuador",Cubana de Aviacion,Tupolev TU-154M,91,77,14,70,56.0,14.0,"The aircraft crashed and burned during takeoff from Quito. The crew tried and failed twice to take off. On the third attempt, the plane struggled to gain altitude, rising a few feet, but settled back to earth plowing past the end of the runway and crashing into an auto body shop and coming to rest in a soccer field. The accident was caused by the late decision of the crew to abort the takeoff.",1990,1998
2551,1998-09-02,21:30:00,"Off Peggy's Cove, Nova Scotia, Canada",Swissair,McDonnell Douglas MD-11,229,215,14,229,215.0,14.0,"The aircraft was on a flight from JFK Airport, New York to Geneva, Switzerland when the crew reported smoke in the cockpit and requested an emergency landing at Halifax. The plane began dumping fuel and preparing for an emergency landing when it disappeared from radar and crashed into the Atlantic Ocean southwest of Halifax. A fire in the entertainment system wiring started in a hidden area above the cockpit ceiling when arcing ignited the cover material made of thermal insulation blankets. This set off an in-flight fire that spread and increased in intensity until it led to the loss of the aircraft.. It was determined that  aircraft certification standards for material flammability at the time of the accident were inadequate. Dr. Jonathan Mann, researcher in the fight against AIDS and Joseph LaMotta, son of boxing champion Jake LaMotta, killed in the crash.",1990,1998
2552,1998-09-09,10:45:00,"Port Alsworth, Alaska",Rusts Flying Service Inc.,de Havilland Dash-2 float plane,5,4,1,5,4.0,1.0,"The plane crashed while attempting to cross a mountain pass, following two other company airplanes in conditions described as five to seven miles visibility, 700 feet ceilings, clouds hanging on the mountainsides, and misty rain. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall. Unfamiliarity with the geographic area, the low clouds, his becoming disoriented, and the blind canyon into which he flew. The audible stall warning circuit breaker was found in the pulled (disabled) position.",1990,1998
2553,1998-09-25,09:00:00,"Near Nador, Morroco",Paukn Air,British Aerospace BAe-146-100,38,34,4,38,34.0,4.0,The aircraft crashed into a hill in a forest 20 miles north of Nador and 12 miles from its destination as it made an approach for Melilla. Controlled flight into terrain.,1990,1998
2554,1998-09-28,13:30:00,"Praia, Cape Verde",Cabo Verde Airlines,de Havilland Canada DHC-6 Twin Otter 300,22,20,2,1,1.0,0.0,"The aircraft crashed to the ground while making a final turn for landing in low clouds, reduced visibility and strong, rapidly veering wind conditions associated with the approach of a severe thunderstorm.",1990,1998
2555,1998-09-29,13:50:00,"Off Mannar, Sri Lanka",Lionair,Antonov AN-24RV,55,48,7,55,48.0,7.0,"Ten minutes after taking off from Jaffna, the plane disappeared from radar. The aircraft crashed into the sea 35 nm north of Mannar. The plane was shot down by LTTE (Liberation Tigers of Tamil Eelam) rebels.",1990,1998
2556,1998-10-02,09:45:00,"Near Canaima, Venezuela",Servivensa,Douglas DC-3C,27,24,3,1,0.0,1.0,"The sightseeing plane, after a flight over Angel Falls, crashed short of the runway into a swamp.",1990,1998
2557,1998-10-21,13:51:00,"Yerevan, Armenia",Ararat Avia,Yakovlev YAK-40,37,33,4,0,0.0,0.0,"While attempting to take off, the aircraft struck a military bus as it crossed the runway.",1990,1998
2558,1998-11-01,13:14:00,"Near Quetzaltenango, Guatemala",Living Water Teaching Ministries Charter,Douglas DC-3C,18,16,2,11,9.0,2.0,"The aircraft crashed into mountainous terrain in fog and rain 44 minutes after leaving Playa Grande, Guatemala. The plane was returning from doing a medical clinic for 3 days in the remote jungles of Playa Grande where no one had seen a doctor before.",1990,1998
2559,1998-11-11,11:22:00,"Near Krasnoyarsk, Russia",Sakha Airlines,Antonov AN-12,13,7,6,13,7.0,6.0,"The aircraft, carrying freight and seven passengers, crashed and burned, 25 km from Krasnoyarsk, 4 minutes after taking off in a snowstorm. Icing.",1990,1998
2560,1998-11-21,17:43:00,"Edgewater, Maryland",Private,Burgess RV-6 experimental,1,0,1,1,0.0,1.0,"The homebuilt plane was attempting to land at Lee Airport in Maryland when it crashed into Beard's Creek.  coming to rest  inverted in 18 feet of water. Actor, William Gardner Knight, 56, who was piloting the aircraft was killed. The pilot's failure to maintain adequate altitude/clearance from the trees. Contributing to the accident was the pilot's unfamiliarity with the geographic location and dark night conditions.",1990,1998
2561,1998-12-11,19:10:00,"Near Surat Thani, Thailand",Thai Airways,Airbus A-310-204,146,132,14,102,91.0,11.0,"The plane crashed 2 miles southwest of Surat Thani Airport. The accident occurred in poor visibility and heavy rain. After a third landing attempt, the plane could not gain altitude and crashed into a paddy field. First reports suggest the aircraft stalled and pancaked into the ground tail first. Spatial disorientation when the nose pitched up sharply during a nighttime approach in stormy weather. Pilot error.",1990,1998
2562,1998-12-22,00:15:00,"Medellín, Colombia",SELVA,Antonov 32B,5,2,3,5,2.0,3.0,The cargo plane crashed in fog and poor visibility while attempting to land.,1990,1998
2563,1998-12-26,12:00:00,"Vila Nova, Angola",Transafrik,Lockheed Martin L-100-30 Hercules,14,10,4,14,10.0,4.0,"The plane crashed in dense jungle, 25 km from the departure town of Huambo. Heavy fighting was reported between government forces and UNITA rebels at the time of the crash.",1990,1998
2564,1999-01-12,17:00:00,"Guernsey, Channel Islands, England",Channel Express,Fokker F-27 Friendship 600,2,0,2,2,0.0,2.0,"During approach the cargo planel,assumed a nose-high attitude, stalled, hit a house and crashed into a field short of the runway. The aircraft was operated outside the load and balance limitations",1990,1999
2565,1999-01-13,06:33:00,"Mayne Island, British Columbia, Canada",Kelowna Flightcraft Air Charter,Douglas DC-3C,2,0,2,2,0.0,2.0,"Shortly after taking off, the cargo plane began to lose altitude until it hit trees, went off a cliff and crashed to a valley floor. The accident flight was not conducted in accordance with the night obstacle clearance requirements of Canadian Aviation Regulation. The Kelowna Flightcraft company operations manual did not reflect the restrictive conditions imposed on night visual flight rules (VFR) flight by CAR 705.32. Such information might have prevented the accident by ensuring the crew's awareness of those night obstacle clearance standards.",1990,1999
2566,1999-01-16,14:30:00,"Coconut Island, QLD, Australia",Uzu Air,Britten Norman BN-2A-26,4,3,1,3,2.0,1.0,"After initiating a go-around, the aircraft veered left and commenced a shallow climb before suddenly rolling right and descending steeply onto a tidal flat. The pilot initiated a go-around from final approach because of a vehicle on the airstrip. The left propeller showed little evidence of rotation damage. The reason for a possible loss of left engine power could not be determined. For reasons that could not be established, the pilot lost control of the aircraft at a low height.",1990,1999
2567,1999-01-21,08:10:00,"Bluefields, Nicaragua",Fuerza Aérea Nicaragua,Antonov AN-26,28,21,7,28,21.0,7.0,"The plane, on a relief mission to Bluefields was waved off from landing because of a blocked runway. While navigating around for another landing attempt, the aircraft crashed into mountainous terrain.",1990,1999
2568,1999-02-02,05:08:00,"Luanda, Angola",Savannair,Antonov AN-12,14,10,4,14,10.0,4.0,"The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.",1990,1999
2569,1999-02-03,10:20:00,"Hoskins, Papua New Guinea",Airlink,Britten Norman BN-2A Trislander,11,10,1,11,10.0,1.0,The aircraft crashed 15 minutes after taking off from Hoskins en route to Kandrian. The aircraft broke-up in midair after encountering severe weather and crashed into a oil palm plantation in flat terrain.,1990,1999
2570,1999-02-24,16:34:00,"Rui'an, China",China Southwest Airlines,Tupolev TU-154,61,50,11,61,50.0,11.0,"The aircraft was on a flight from Chengdu to Wenzhou when it crashed into a field while on approach to Wenzhou Airport. Witnesses saw the plane nose-dive into the ground from an altitude of 2,300 feet and explode. A self-locking nut, other than a castle nut with cotter pin as specified, had been installed at the bolt for connection between the pull rod and bellcranck in the elevator control system. The nut screwed off, resulting in bolt loss, which led to the loss of pitch control.",1990,1999
2571,1999-02-25,12:30:00,"Genoa, Italy",Minerva Airlines,Dornier 328-110,31,27,4,4,3.0,1.0,"The aircraft touched down briefly, overran the runway and crashed into the sea in strong winds.",1990,1999
2572,1999-03-07,08:23:00,"New Delhi, India",Military - Indian Air Force,Antonov AN-32 Transport,19,15,4,19,15.0,4.0,"While approaching New Delhi Airport, the plane suddenly veered off its landing path and crashed into a building site and careened into a water tank reservoir. A witness said the plane came in very low and crashed, exploded and burned after severing power lines. A heavy layer of fog covered the area prior to the crash. The crash site was 1.5 miles from the airport.",1990,1999
2573,1999-03-19,09:45:00,"Davis Inlet, Newfoundland, Canada",Provincial Airlines,de Havilland Canada DHC-6 Twin Otter 300,2,0,2,1,0.0,1.0,"On approach, the crew of the cargo plane descended to MDA and initiated a go-around after the runway was not seen.  On the second approach the captain descended below MDA and  the aircraft struck the ground in controlled flight 2 nm short of the runway. The aircraft was destroyed. The captain decided to descend below the minimum descent altitude without the required visual references. After descending below MDA, both pilots were preoccupied with acquiring and maintaining visual contact with the ground and did not adequately monitor the flight instruments; thus, the aircraft flew into the ice.",1990,1999
2574,1999-04-07,11:30:00,"Ribeirao Preto, Brazil",Manacá Táxi Aéreo,Learjet 24D,5,0,5,5,0.0,5.0,The pilot-in-command lost control during touch-and-go landing and crashed.,1990,1999
2575,1999-04-07,00:33:00,"Near Ceyhan, Turkey",Turkish Airlines (THY),Boeing 737-4Q8,6,0,6,6,0.0,6.0,The aircraft departed Adana to pick up Turkish pilgrims. The plane crashed 9 minutes after taking off in poor weather conditions. Severe weather probably contributed to the cause of the accident. Pitot anti-icing system was probably not activated because of missed checklist items. The crew failed to recognize the cause of erratic airspeed indications and failed to use other cockpit indications for control and recovery of the aircraft.,1990,1999
2576,1999-04-08,11:35:00,"Near Malaga, Colombia",Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,5,3,2,5,3.0,2.0,"The aircraft crashed into La Caida Hill in fog, 10 minutes from its destination. The aircraft was off course.",1990,1999
2577,1999-04-15,16:05:00,"Shanghi, China",Korean Air,McDonnell Douglas MD-11,3,0,3,3,0.0,3.0,"Shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. Both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed.",1990,1999
2578,1999-05-08,19:21:00,"Off Port Vila, Vanuatu",Vanair,de Havilland Canada DHC-6 Twin Otter 300,12,11,1,7,6.0,1.0,Crashed into the ocean during a heavy rain. It is reported that the flight had appeared to be proceeding normally until impact with the water.,1990,1999
2579,1999-05-24,13:15:00,"Kuching, Malaysia",Military - Malaysian Air Force,de Havilland Canada DHC-4A,5,0,5,5,0.0,5.0,Crashed while attempting to take off.,1990,1999
2580,1999-05-29,14:30:00,"Ol Kiombo, Kenya",Malindi Air Services,Let 410UVP-E,2,0,2,2,0.0,2.0,Failed to gain altitude while taking off and crashed. The plane was on a positioning flight to pick up passengers.,1990,1999
2581,1999-06-01,23:50:00,"Little Rock, Arkansas",American Airlines,McDonnell Douglas MD-82,145,139,6,11,10.0,1.0,"The plane was on a flight from Dallas/Fort Worth, Texas to Little Rock, Arkansas. While attempting to land at Little Rock Airport, the flight encountered heavy thunderstorms, rain and strong winds. The aircraft landed fast and hard, skidded off the end of the runway and struck a landing light tower, breaking into three parts and bursting into flames. Crew's decision to continue the approach despite severe thunderstorms in the area and crosswinds that  exceeded American Airlines' guidelines. The crew did not arm the automatic spoiler system before landing or manually deploy the spoilers after touchdown. Fatigue, the crew had been awake for nearly 16 hours.",1990,1999
2582,1999-06-09,10:50:00,"Juneau, Alaska",Air Taxi - Coastal Helicopters Inc.,Eurocopter AS-350BA,7,6,1,7,6.0,1.0,"The sightseeing helicopter impacted a glacier.The pilot's continued VFR flight into adverse weather, spatial disorientation, and failure to maintain aircraft control. Factors associated with the accident were pressure by the company to continue flights in marginal weather, and the ""flat"" lighting leading to whiteout conditions.",1990,1999
2583,1999-06-17,08:52:00,"Goroka, Papua New Guinea",Airlink,Embraer 110P2 Bandeirante,17,15,2,17,15.0,2.0,"The aircraft was 19 miles or six minutes out of Goroka when it crashed into a hillside. At the time of the crash, the pilot was in routine communication with Goroka and gave no indications of any problems.",1990,1999
2584,1999-06-25,13:20:00,"Long Haul Lake, Manatoba, Canada",Blue Water Aviation Services,de Havilland Canada DHC-3 Otter,2,0,2,1,0.0,1.0,"During the takeoff the engine failed and the plane crashed into trees. The most likely accident scenario during the second take-off is that water contamination migrated from the center fuel tank to the engine,
resulting in a loss of engine power.",1990,1999
2585,1999-07-02,14:27:00,"Sittwe, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,8,4,4,8,4.0,4.0,"The aircraft, carrying freight, flew into the side of a fog covered ridge, 8 km E of Sittwe, while on approach to Sittwe.",1990,1999
2586,1999-07-04,12:05:00,"Villavicencio, Colombia",LANC Colombia,Douglas DC-6A,18,12,6,5,5.0,0.0,The aircraft developed engine trouble shortly after taking off and returned to the airport. The plane made a steep descent and struck an embankment of the Guatiquia River.,1990,1999
2587,1999-07-07,19:51:00,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,Boeing 727-243F,5,0,5,5,0.0,5.0,"The cargo plane crashed into the Champadevi mountains at an altitude of 7,500 ft. The plane was flying too low.  Failure to the adhere to Standard Instrument Departure Procedure by the crew and failure of the controllers to warn the flight.",1990,1999
2588,1999-07-09,04:30:00,"Toluca , Mexico",Aero Jet Express,Hawker Siddeley HS-125,4,2,2,4,2.0,2.0,"While on approach, the cargo plane hit a wall, 400 meters short of the runway.",1990,1999
2589,1999-07-23,11:25:00,"Tokyo, Japan",All Nippon Airways,Boeing B-747,517,503,14,1,0.0,1.0,"Two minutes after taking off from Haneda Airport, a man carrying a knife forced a flight attendant to take him in the cockpit of the plane.  A fan of computer flight-simulation games, he stated he just wanted to fly a real plane.  After forcing the co-pilot out of the cockpit he ordered the captain to fly to a U.S. Air Force base in western Tokyo. When he refused, he stabbed the captain and seized the controls. After a sudden drop in altitude, the co-pilot and an off duty crew member entered the cockpit and overpowered the hijacker.  A one point the plane plunged to within 984 feet of the ground. The plane ultimately  landed safely but the captain died of his injuries.",1990,1999
2590,1999-07-24,05:35:00,"Nasevou Village, Fiji",Air Fiji,Embraer 110P1 Bandeirante,17,15,2,17,15.0,2.0,"The plane crashed into a mountainside at an altitude of about 1,800 feet about 15 minutes after taking off from Nausori Airport bound for Nadi International Airport. The plane was observed by witnesses flying low prior to the crash. The wreckage indicated the aircraft descended until the right wing hit a line of trees at the 1,300 ft. elevation. It was determined the captain had insufficient sleep prior to the flight and had consumed an  excessive amount  antihistamine both of which may have influenced his performance. Published operational standards by Air Fiji, inadequate for the particular type of aircraft.",1990,1999
2591,1999-08-07,12:00:00,"Santo Antao, Cape Verde Islands",TACV-Cabo Verde Airlines,Dornier 228-201,18,16,2,18,16.0,2.0,"The aircraft, which was chartered from the Cape Verde Coast Guard, crashed into a cliff near Ponta do Sol airfield in the Cape Verde Islands in fog and rain. The plane was returning to the island of Sao Vicente where it originally departed  due to poor weather conditions over the destination city. The pilot possibly lost visibility due to the fog and rain and crashed into a cliff in Santo Antao.",1990,1999
2592,1999-08-22,18:45:00,"Hong Kong, China",China Airlines (Taiwan),McDonnell Douglas MD-11,315,300,15,3,3.0,0.0,"While making a landing in strong winds and rain, the pilot-in-command disconnected the autopilot but left the autothrottle engaged. The aircraft, with a weight close to the maximum landing weight permitted, stabilized slightly low on the glideslope. An attempt was made to flare but the aircraft landed hard on its right landing gear and the No.3 engine touched the runway. The right main landing gear and right wing separated. The MD-11 then inverted and skidded off the runway in flames. Probable Cause: The commander's unability to arrest the high rate of descent existing at 50 ft. RA. Contributory Causes:  The commander's failure to appreciate the combination of a reducing airspeed, increasing rate of descent, and with the thrust decreasing to flight idle.
The commander's failure to apply power to counteract the high rate of descent prior to touchdown. Probable variations in wind direction and speed below 50 ft RA may have resulted in a momentary loss of headwind component and, in combination with the early retardation of the thrust levers, and at a weight only just below the maximum landing weight, led to a 20 kt loss in indicated airspeed just prior to touchdown. A possible contributory cause may have been a reduction in peripheral vision as the aircraft entered the area of the landing flare, resulting in the commander not appreciating the high rate of descent prior to touchdown.",1990,1999
2593,1999-08-24,12:36:00,"Hualian, Taiwan",Uni Air,McDonnell Douglas MD-90-30,96,90,6,1,1.0,0.0,"A fire in the front portion of the cabin, in the overhead luggage compartment, caused thick black smoke to accumulate in the cabin.  Accidental ignition of gas taken aboard in 2 bleach and softner bottles, stored in a overhead locker.",1990,1999
2594,1999-08-26,10:54:00,"Turtkul, Uzbekistan",Uzbekistan Airways,Yakovlev YAK-40,33,29,4,2,2.0,0.0,"The aircraft struck power lines 2,000m past the end of the runway after a second attempted go-around.",1990,1999
2595,1999-08-31,20:55:00,"Buenos Aires, Argentina","LAPA, Lineas Aereas Privadas Argentinas",Boeing B-737-204C,103,98,5,63,60.0,3.0,"While attempting to take off from Jorge Newberry airport, the crew aborted takeoff, overran the runway, skidded across a service road and crashed into several cars and into a golf course, bursting into flames.  The crew forgot to extend the wing flaps to initiate take-off, and ignored the alarm that advised them of the error in configuration for take-off. The pilots did not maintain a sterile cockpit, sharing a cigarette and socializing with a flight attendant.",1990,1999
2596,1999-09-05,10:30:00,"Near Kathmandu, Nepal",Necon Air,Hawker Siddeley HS-748-501 Super 2B,15,10,5,15,10.0,5.0,"While on approach to Tribhuvan International Airport, the aircraft struck a telecommunication tower with its left wing and crashed onto slopes of a wooded area, 6 miles southwest of the airport.",1990,1999
2597,1999-09-14,23:47:00,"Girona, Spain",Britannia Airways,Boeing 757-204,245,236,9,1,1.0,0.0,"The aircraft touched down hard, bounced, and made a second heavier touchdown causing substantial damage to the nosewheel and its supports. The Boeing 757 left the runway at high speed, approximately 1,000m from the second touchdown point. It then ran 343m across flat grassland beside the runway, before going diagonally over a substantial earth mound adjacent to the airport boundary, becoming semi airborne as a result. Beyond the mound it hit a number of medium sized trees and the right engine struck the boundary fence. The aircraft then passed through the fence, re-landed in a field and both main landing gears collapsed. It finally stopped after a slide across the field. One passenger, who had been admitted to hospital with apparently minor injuries and discharged the following day, died five days later from unsuspected internal injuries.",1990,1999
2598,1999-09-14,21:20:00,"Belelm, Brazil",Norte Jet Táxi Aéreo,Embraer 110 Bandeirante,2,0,2,2,0.0,2.0,The cargo plane crashed while on approach.,1990,1999
2599,1999-10-02,19:15:00,"Dhahran, Saudi Arabia",Aramco Associated Company,Bell 214ST helicopter,20,18,2,12,10.0,2.0,"The helicopter, crashed into the water shortly after liftoff from the 88 foot tall helideck located 35 miles offshore. The landing was soft and gentle but the helicopter rolled over inverted in the water.",1990,1999
2600,1999-10-25,11:20:00,"Aberdeen, South Dakota",Private charter,Gates Learjet 35,6,4,2,6,4.0,2.0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons. Possible contributing factor: The emergency checklist was written in such a way that it did not direct the crew first don their face masks.",1990,1999
2601,1999-10-31,01:52:00,"Off Nantucket Island, Massachusetts",EgyptAir,Boeing B-767-366ER,217,202,15,217,202.0,15.0,"The plane took off from JFK at 1:19 a.m. bound for Cairo, Egypt. Thirty-three minutes later, after attaining an altitude of 33,000 feet, it was observed on radar in an extremely rapid descent. The aircraft was observed in a 66 degree dive at 483 knots. The descent continued to 16,700 feet after which the aircraft climbed to 24,000 ft.   After that, the plane began a second dive and broke up at around 10,000 ft. crashing into the Atlantic Ocean, 60 miles southeast of Nantucket Island.  The aircraft was named Thutmosis III. The accident was caused by the relief first officer's flight control inputs which caused the airplane's departure from normal cruise flight and subsequent impact with the Atlantic Ocean. The reason for the first officer's actions were not determined by the NTSB. One could conclude the actions were deliberate in an attempt to commit suicide.",1990,1999
2602,1999-11-09,19:03:00,"Near Uruapan, Mexico",TAESA,McDonnell Douglas DC-9-31,18,13,5,18,13.0,5.0,"The plane was on a flight from Tujuana to Mexico City, with stops at Guadalajara and Uruapan. After reaching Uruapan, seventy-eight passengers deplaned.One minute after taking off from Uruapan, the crew declared an emergency without saying what was wrong. A few minutes later the plane went into a steep dive and crashed in a mountainous area 3.3 miles south of the airport. Some witnesses stated the plane was on fire before it hit the ground. TAESA's operation license was suspended due to the incident, which prompted inquiries regarding the airline's safety and maintenance procedures.",1990,1999
2603,1999-11-12,11:13:00,"Near Pristina, Kosovo",Si Fly - U.N. charter,Aerospatiale Alenia ATR-42,24,21,3,24,21.0,3.0,"The plane was on a flight from Rome, Italy to Pristina, Kosovo with a stop at Tirana, Albania. The plane disappeared from radar and crashed about 10 miles north of Pristina into a hill in poor weather. The plane was a U.N. charter flight on a routine humanitarian mission to distribute food. Lack of procedural discipline and vigilance during flight in mountainous terrain. Improper tracking by the military ATC. Crew fatigue.  Inoperable GPWS.",1990,1999
2604,1999-12-05,05:12:00,"Moscow, Russia",Tashkent Aircraft Production Corporation,Ilyushin 114T,7,0,7,5,0.0,5.0,"The cargo plane was taxiing for takeoff when a gust of wind caused the rudder to become fully deflected to the left. The captain continued the takeoff despite suggestions from the crew to return to the gate. Shortly after lifting off the runway the plane yawed to the left and collided with the airport perimeter wall, bursting into flames.",1990,1999
2605,1999-12-07,09:25:00,"Near Bayombang, Philippines",Asian Spirit,Let 410UVP,17,15,2,17,15.0,2.0,The aircraft apparently flew into a mountainside towards the end of a flight from Manila to Cauayan in rain and poor visibility.,1990,1999
2606,1999-12-10,02:50:00,"Kuwait City, Kuwait",Military - U.S. Air Force,Lockheed C-130H,94,86,8,3,3.0,0.0,"Crashed  2,900 ft. short of the runway causing extensive damage. The pilot was unable to get the aircraft airborne following the impact. Weather was below minima. Crew failed to monitor their instruments, became spatially disoriented and failed to arrest a high rate of descent. Pilot was inexperienced.",1990,1999
2607,1999-12-11,09:20:00,"Sao Jorge, Azores (Portugal)",SATA,British Aerospace APT,35,31,4,35,31.0,4.0,"The plane crashed 30 minutes after leaving Ponta Delgada, Sao Miguel Island bound for Horta, Faial Island in the Azores. The plane lost contact with the Horta control tower 10 minutes before it was scheduled to land.  Witnesses said the plane was flying very low before they saw the plane crash into Mount Esperanca on the island of Sao Jorge.",1990,1999
2608,1999-12-21,09:40:00,"Guatemala City, Guatemala",Cubana de Aviacon,McDonnell Douglas DC-10-30,314,296,18,16,8.0,8.0,"While attempting to land at La Aurora International Airport, the aircraft overshot the runway, rolled down an embankment and crashed into houses in the La Libertad section of the city. Witnesses say the plane was unable to stop after it began its landing too far down the runway. The crew failed to initiate a go-around after overshooting on a wet runway with insufficient deceleration to make a safe stop. Leased from AOM.",1990,1999
2609,1999-12-22,18:38:00,"Great Hallingbury, United Kingdom",Korean Air,Boeing 747-2B5F,4,0,4,4,0.0,4.0,"Shortly after taking off the ADI comparator alarm sounded three times. Shortly afterwards, the warning sounded a further two times. As the captain initiated a procedural turn to the left, the comparator warning sounded 9 more times.. The aircraft then banked left progressively and entered a descent until it struck the ground in a 40 degree nose down attitude at a high rate of speed. The pilots did not respond appropriately to the comparator warnings during the climb after takeoff from Stansted despite prompts from the flight engineer. The commander, as the handling pilot, maintained a left roll control input, rolling the aircraft to approximately 90 of left bank and there was no control input to correct the pitch attitude throughout the turn. The first officer either did not monitor the aircraft attitude during the climbing turn or, having done so, did not alert the commander to the extreme unsafe attitude that developed.",1990,1999
